GeneID	log2(FC)
FBgn0002543	0.574242703683877
FBgn0033844	-0.280028194473887
FBgn0046687	-0.478753325716229
FBgn0036279	-0.419834926984995
FBgn0034249	0.446005892984443
FBgn0030974	-0.328154788417679
FBgn0265045	-0.359660484547424
FBgn0029975	0.364849501671955
FBgn0259683	0.677688772587116
FBgn0013997	0.36844138153273
FBgn0019957	-0.40030642409037
FBgn0263593	-0.337140130584153
FBgn0039108	0.569664654957131
FBgn0050035	0.422785901249188
FBgn0035496	-0.536475124149873
FBgn0035608	0.379179401606904
FBgn0038391	-0.48945188476782
FBgn0038874	-0.648768540281593
FBgn0266758	-0.328064753408961
FBgn0039538	0.630407445160134
FBgn0025865	0.285327539238487
FBgn0270927	-0.345207465641768
FBgn0086708	-0.521133718437869
FBgn0030343	0.41249663766354
FBgn0004584	0.380191813159288
FBgn0016693	-0.291856211859581
FBgn0020416	-0.328783528817838
FBgn0037901	0.374020514845529
FBgn0003117	-0.368685195813106
FBgn0031245	0.655296793268897
FBgn0037896	0.669897925702409
FBgn0034753	0.311507036726175
FBgn0026576	-0.369958757006151
FBgn0262582	-0.405118855549137
FBgn0030318	0.381370699367627
FBgn0033924	0.455039052112679
FBgn0014163	0.522957158945828
FBgn0286785	-0.366054358032798
FBgn0087035	-0.272365400786921
FBgn0003862	-0.426201140137865
FBgn0286781	0.291509928278608
FBgn0051005	-0.447805103697144
FBgn0034365	-0.427527266970937
FBgn0020762	-0.386320403640372
FBgn0041183	-0.542822519336215
FBgn0032785	-0.510322175235814
FBgn0010246	-0.36314765747269
FBgn0025574	0.436091882097361
FBgn0259741	0.768447616583944
FBgn0243512	-0.398604847124981
FBgn0001197	0.308867283360768
FBgn0036257	-0.330837652988282
FBgn0260936	-0.309905955103885
FBgn0052813	-0.548935999605737
FBgn0036764	0.377233942532907
FBgn0020764	-0.379853978456646
FBgn0016926	-0.385748124051042
FBgn0027621	-0.375410970446088
FBgn0003053	0.694224064100774
FBti0019740	-0.642785765925625
FBgn0034029	0.399029692820561
FBgn0037717	0.385446731148584
FBgn0038020	0.398642718985971
FBgn0027932	0.322109570886071
FBti0019307	0.688223289898348
FBgn0285947	-0.286924174857736
FBgn0027657	-0.429107710683678
FBgn0032698	-0.436187964653219
FBgn0033192	-0.411063684670557
FBgn0264987	0.569644535068389
FBgn0003366	-0.76974646606874
FBgn0267408	0.27308831659672
FBgn0031752	-0.315370383818343
FBgn0039788	0.761367904656423
FBgn0028970	-0.469472491851928
